Datum;Waarde(kWh);Type
12-2012;0,1160;electricity_consumed
1-2013;0,2213;electricity_consumed
2-2013;0,1337;electricity_consumed
3-2013;0,1325;electricity_consumed
4-2013;0,1305;electricity_consumed
5-2013;0,1809;electricity_consumed
6-2013;0,2046;electricity_consumed
7-2013;0,1873;electricity_consumed
8-2013;0,1482;electricity_consumed
9-2013;0,1432;electricity_consumed
10-2013;0,1515;electricity_consumed
11-2013;0,1492;electricity_consumed
12-2013;0,1774;electricity_consumed
1-2014;0,1631;electricity_consumed
2-2014;0,1234;electricity_consumed
3-2014;0,1224;electricity_consumed
4-2014;0,1214;electricity_consumed
5-2014;0,1580;electricity_consumed
6-2014;0,1549;electricity_consumed
7-2014;0,2021;electricity_consumed
8-2014;0,1311;electricity_consumed
9-2014;0,1492;electricity_consumed
10-2014;0,1282;electricity_consumed
11-2014;0,1628;electricity_consumed
12-2014;0,1746;electricity_consumed
1-2015;0,1782;electricity_consumed
2-2015;0,1296;electricity_consumed
3-2015;0,1221;electricity_consumed
4-2015;0,1056;electricity_consumed
5-2015;0,1458;electricity_consumed
6-2015;0,1939;electricity_consumed
7-2015;0,1794;electricity_consumed
8-2015;0,1489;electricity_consumed
9-2015;0,1298;electricity_consumed
10-2015;0,1418;electricity_consumed
11-2015;0,1773;electricity_consumed
12-2015;0,1589;electricity_consumed
1-2016;0,1726;electricity_consumed
2-2016;0,1268;electricity_consumed
3-2016;0,1278;electricity_consumed
4-2016;0,1271;electricity_consumed
5-2016;0,1608;electricity_consumed
6-2016;0,1726;electricity_consumed
7-2016;0,1782;electricity_consumed
8-2016;0,1586;electricity_consumed
9-2016;0,1397;electricity_consumed
10-2016;0,1315;electricity_consumed
11-2016;0,1486;electricity_consumed
12-2016;0,1814;electricity_consumed
1-2017;0,1711;electricity_consumed
2-2017;0,1423;electricity_consumed
3-2017;0,1173;electricity_consumed
4-2017;0,1301;electricity_consumed
5-2017;0,1620;electricity_consumed
6-2017;0,1736;electricity_consumed
7-2017;0,1726;electricity_consumed
8-2017;0,1633;electricity_consumed
9-2017;0,1364;electricity_consumed
10-2017;0,1577;electricity_consumed
11-2017;0,1687;electricity_consumed
12-2017;0,2257;electricity_consumed
1-2018;0,1810;electricity_consumed
2-2018;0,1223;electricity_consumed
3-2018;0,1429;electricity_consumed
4-2018;0,1465;electricity_consumed
5-2018;0,0854;electricity_consumed
6-2018;0,0450;electricity_consumed
7-2018;0,0103;electricity_consumed
8-2018;0,0000;electricity_consumed
9-2018;0,0000;electricity_consumed
10-2018;0,0000;electricity_consumed
11-2018;0,0028;electricity_consumed
12-2018;0,0238;electricity_consumed
1-2019;0,0083;electricity_consumed
2-2019;0,0039;electricity_consumed
3-2019;0,0071;electricity_consumed
4-2019;0,0130;electricity_consumed
5-2019;0,0162;electricity_consumed
6-2019;0,0014;electricity_consumed
7-2019;0,0068;electricity_consumed
8-2019;0,0105;electricity_consumed
9-2019;0,0108;electricity_consumed
10-2019;0,0102;electricity_consumed
11-2019;0,0108;electricity_consumed
12-2019;0,0083;electricity_consumed
1-2020;0,0138;electricity_consumed
2-2020;0,0127;electricity_consumed
3-2020;0,0091;electricity_consumed
4-2020;0,0132;electricity_consumed
5-2020;0,0068;electricity_consumed
12-2012;27,1697;electricity_produced
1-2013;61,9903;electricity_produced
2-2013;147,2339;electricity_produced
3-2013;290,9719;electricity_produced
4-2013;466,6349;electricity_produced
5-2013;465,2193;electricity_produced
6-2013;500,6060;electricity_produced
7-2013;536,5726;electricity_produced
8-2013;503,8882;electricity_produced
9-2013;312,7261;electricity_produced
10-2013;200,5893;electricity_produced
11-2013;88,0340;electricity_produced
12-2013;90,8830;electricity_produced
1-2014;80,3744;electricity_produced
2-2014;159,0428;electricity_produced
3-2014;374,6722;electricity_produced
4-2014;409,9594;electricity_produced
5-2014;490,5372;electricity_produced
6-2014;543,8317;electricity_produced
7-2014;484,1722;electricity_produced
8-2014;433,5737;electricity_produced
9-2014;352,6468;electricity_produced
10-2014;192,5549;electricity_produced
11-2014;111,9833;electricity_produced
12-2014;65,6567;electricity_produced
1-2015;80,6213;electricity_produced
2-2015;192,0475;electricity_produced
3-2015;320,5145;electricity_produced
4-2015;487,0284;electricity_produced
5-2015;562,7004;electricity_produced
6-2015;531,7281;electricity_produced
7-2015;516,5749;electricity_produced
8-2015;460,5451;electricity_produced
9-2015;314,2438;electricity_produced
10-2015;224,6171;electricity_produced
11-2015;88,3816;electricity_produced
12-2015;73,4484;electricity_produced
1-2016;90,3110;electricity_produced
2-2016;179,2017;electricity_produced
3-2016;316,4617;electricity_produced
4-2016;450,5930;electricity_produced
5-2016;522,5466;electricity_produced
6-2016;467,5661;electricity_produced
7-2016;523,2767;electricity_produced
8-2016;475,3745;electricity_produced
9-2016;352,9484;electricity_produced
10-2016;231,0431;electricity_produced
11-2016;108,1819;electricity_produced
12-2016;70,2400;electricity_produced
1-2017;114,4960;electricity_produced
2-2017;109,9761;electricity_produced
3-2017;346,7827;electricity_produced
4-2017;455,7333;electricity_produced
5-2017;511,2859;electricity_produced
6-2017;514,4195;electricity_produced
7-2017;490,6181;electricity_produced
8-2017;430,3754;electricity_produced
9-2017;301,8758;electricity_produced
10-2017;191,7256;electricity_produced
11-2017;101,7429;electricity_produced
12-2017;43,2417;electricity_produced
1-2018;78,1329;electricity_produced
2-2018;244,7287;electricity_produced
3-2018;290,8777;electricity_produced
4-2018;393,1549;electricity_produced
5-2018;350,3577;electricity_produced
6-2018;53,2025;electricity_produced
7-2018;81,5945;electricity_produced
8-2018;0,0000;electricity_produced
9-2018;0,0000;electricity_produced
10-2018;0,0000;electricity_produced
11-2018;7,2266;electricity_produced
12-2018;66,7138;electricity_produced
1-2019;87,3405;electricity_produced
2-2019;220,9992;electricity_produced
3-2019;295,0714;electricity_produced
4-2019;502,1888;electricity_produced
5-2019;548,3532;electricity_produced
6-2019;569,1062;electricity_produced
7-2019;545,3041;electricity_produced
8-2019;482,4203;electricity_produced
9-2019;322,7538;electricity_produced
10-2019;186,9795;electricity_produced
11-2019;109,2479;electricity_produced
12-2019;85,5520;electricity_produced
1-2020;74,9905;electricity_produced
2-2020;135,9353;electricity_produced
3-2020;371,0797;electricity_produced
4-2020;537,6985;electricity_produced
5-2020;650,8795;electricity_produced
6-2020;533,0285;electricity_produced
7-2020;501,7011;electricity_produced
8-2020;468,6318;electricity_produced
9-2020;331,6808;electricity_produced
10-2020;155,9653;electricity_produced
11-2020;118,0962;electricity_produced
12-2020;60,4942;electricity_produced
1-2021;94,8845;electricity_produced
2-2021;175,4647;electricity_produced
3-2021;297;electricity_produced
4-2021;460;electricity_produced
5-2021;504;electricity_produced
6-2021;447;electricity_produced
7-2021;462;electricity_produced
8-2021;462;electricity_produced
9-2021;447;electricity_produced
10-2021;234,4;electricity_produced
11-2021;100,3;electricity_produced
12-2021;60,7;electricity_produced
1-2022;75,5;electricity_produced
2-2022;186;electricity_produced
3-2022;455,5;electricity_produced
4-2022;462,4;electricity_produced
5-2022;566,0;electricity_produced
6-2022;578,9;electricity_produced
7-2022;583,1;electricity_produced
8-2022;517,5;electricity_produced
9-2022;349,8;electricity_produced
10-2022;200,7;electricity_produced